City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Puerto Ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Morehead,US,73.85,clear sky,37.2711,-87.1764,CCI Express Inn
8,Busselton,AU,61.3,overcast clouds,-33.65,115.3333,Observatory Guest House
13,Datong,CN,79.86,clear sky,40.0936,113.2914,Holiday Inn Datong City Centre
15,Angoche,MZ,71.67,clear sky,-16.2325,39.9086,Guest House HESADA
16,Lagoa,PT,65.95,overcast clouds,39.05,-27.9833,Casa Das Faias
17,Akonolinga,CM,65.91,overcast clouds,3.7667,12.25,Le Diamant De Mireille
18,Guerrero Negro,MX,69.3,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
19,Tocopilla,CL,61.2,broken clouds,-22.092,-70.1979,Hotel Galvarino
21,Atuona,PF,77.59,few clouds,-9.8,-139.0333,Villa Enata
23,Caetite,BR,62.64,clear sky,-14.0694,-42.475,Hotel Porto do Sol
28,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
29,Tual,ID,79.09,broken clouds,-5.6667,132.75,Grand Vilia Hotel
34,Los Llanos De Aridane,ES,64.15,few clouds,28.6585,-17.9182,Valle Aridane
35,Cidreira,BR,60.26,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
37,Arraial Do Cabo,BR,70.25,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
39,Yellowknife,CA,77.56,smoke,62.456,-114.3525,The Explorer Hotel
41,Bandundu,CD,73.04,broken clouds,-3.3167,17.3667,Coja Color
43,Ponta Do Sol,PT,68.0,clear sky,32.6667,-17.1,Hotel do Campo
46,Vila Franca Do Campo,PT,66.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
49,Jamestown,US,65.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
50,Cape Town,ZA,60.39,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
52,Erdenet,MN,61.0,overcast clouds,49.0333,104.0833,Erdenet hotel
58,Geraldton,AU,64.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
59,Rikitea,PF,74.86,clear sky,-23.1203,-134.9692,People ThankYou
64,Sterling,US,75.49,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
66,Lompoc,US,65.84,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
70,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
72,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
73,Nyurba,RU,66.15,clear sky,63.2842,118.3319,"Гостиница ""Comfort"""
74,Ordynskoye,RU,63.77,scattered clouds,54.3656,81.8994,Lunevka
76,Touros,BR,74.07,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
77,Harper,LR,75.76,overcast clouds,4.375,-7.7169,Screensaver
78,Bethel,US,70.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
80,Beziers,FR,71.89,clear sky,43.3476,3.219,Hôtel Terminus
82,Carnarvon,AU,68.34,clear sky,-24.8667,113.6333,Hospitality Carnarvon
84,Meulaboh,ID,79.18,few clouds,4.1363,96.1285,Kost Pria
85,Erenhot,CN,73.27,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
87,La Libertad,EC,69.46,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
91,Paita,PE,63.54,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
92,Itarema,BR,75.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
93,Prata,BR,64.85,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
94,Siverek,TR,79.21,clear sky,37.755,39.3167,Mercan Hotel
99,Porto Santo,PT,66.58,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
101,Dossor,KZ,74.82,clear sky,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
102,Daru,PG,79.52,overcast clouds,-9.0763,143.2092,Daru Lodge
107,Marawi,PH,78.91,overcast clouds,7.9986,124.2928,Derogongan Residence
112,North Platte,US,78.69,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
118,Ribeira Grande,PT,67.39,broken clouds,38.5167,-28.7,Quinta da Meia Eira
120,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
122,Upata,VE,74.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
123,Goroka,PG,77.92,broken clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
126,Porto Seguro,BR,70.32,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
129,Tuktoyaktuk,CA,75.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
130,Taltal,CL,62.06,broken clouds,-25.4,-70.4833,Residencial Karime
133,Inirida,CO,73.6,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
134,Slavgorod,RU,68.99,overcast clouds,52.9978,78.6449,Hotel Slavgorod
136,San Lawrenz,MT,78.85,scattered clouds,36.0553,14.204,San Andrea Hotel
138,Bagdarin,RU,66.96,overcast clouds,54.4333,113.6,Gostevoy Dom Terem
142,Bud,US,78.78,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
144,Sambava,MG,70.72,broken clouds,-14.2667,50.1667,Melrose
145,Muhororo,UG,62.06,light rain,0.9381,30.7594,Muhorro Executive Hotel
146,Simao,CN,77.18,scattered clouds,22.7886,100.9748,Changyu Hotel
148,Port Said,EG,77.04,clear sky,31.2565,32.2841,Aracan Hotel
151,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
152,Syumsi,RU,64.72,scattered clouds,57.1111,51.6149,"Gostinitsa ""Polar"""
153,Sal Rei,CV,73.74,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
154,Broome,US,73.78,overcast clouds,42.2506,-75.833,Chenango Valley State Park
157,Gornopravdinsk,RU,66.99,clear sky,60.05,69.9,Hostel
158,Saint Andrews,US,77.32,mist,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
159,Toamasina,MG,66.2,broken clouds,-18.1667,49.3833,Hotel H1
160,Port Shepstone,ZA,60.62,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
161,High Level,CA,73.51,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
162,Antalaha,MG,68.18,broken clouds,-14.9003,50.2788,Hotel Vitasoa
164,Altamont,US,79.77,scattered clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
167,Salmon Creek,US,78.31,clear sky,45.7107,-122.649,La Quinta Inn & Suites by Wyndham Vancouver
169,Ust-Tsilma,RU,71.37,overcast clouds,65.441,52.1498,U Praskov'i
171,Vao,NC,74.64,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
173,Canto Do Buriti,BR,71.89,scattered clouds,-8.11,-42.9444,Novo Hotel
177,Aguimes,ES,66.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
183,Krasnyy Profintern,RU,62.62,overcast clouds,57.7446,40.435,Парк-отель «Замок Понизовкина»
186,Erzin,TR,73.27,scattered clouds,36.9559,36.2,Artemis Otel
187,Tura,IN,79.47,light rain,25.5198,90.2201,Hotel RIKMAN Continental
188,Lata,PT,65.07,clear sky,40.1629,-8.3327,Casa Maquia
190,Homer,US,60.69,scattered clouds,59.6425,-151.5483,Beluga Lake Lodge
192,Zhezkazgan,KZ,64.38,scattered clouds,47.8043,67.7144,Hotel Zumrat
193,Cherskiy,RU,62.37,overcast clouds,68.75,161.3,Gostinitsa
199,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
200,Khed,IN,77.47,moderate rain,17.7167,73.3833,Swagat Lodge
201,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
204,Kitimat,CA,63.91,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
209,Adolfo Lopez Mateos,MX,64.92,broken clouds,28.4667,-107.3,Hotel Victor Inn
211,Sao Francisco,BR,66.9,clear sky,-15.9486,-44.8644,Pousada Peixe Vivo
212,Pirapozinho,BR,71.08,clear sky,-22.2753,-51.5,Chácara Gilmar Sapia
214,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
219,Visby,SE,61.02,overcast clouds,57.6409,18.296,Best Western Solhem Hotel Visby
221,Cabedelo,BR,74.07,moderate rain,-6.9811,-34.8339,Pousada Camboinha
225,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
226,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
232,Mayumba,GA,69.62,broken clouds,-3.432,10.6554,LIKWALE LODGE
235,Mandiana,GN,74.05,few clouds,10.6333,-8.6833,Motels rouzo
242,Poronaysk,RU,73.18,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
247,Faanui,PF,78.64,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
249,Freeport,US,72.99,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
250,Boyle,US,75.22,clear sky,37.6334,-84.8666,Chaplin Hill Bed and Breakfast
251,Port-Gentil,GA,72.9,overcast clouds,-0.7193,8.7815,Fengshui Residence
253,Portage,US,70.11,clear sky,41.1667,-81.1998,Rocking Horse Inn
256,Eureka,US,67.19,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
258,Orocue,CO,74.84,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
264,Dibulla,CO,79.27,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
265,Vylkove,UA,64.63,clear sky,45.4021,29.586,Pelican City
266,Sao Filipe,CV,73.83,few clouds,14.8961,-24.4956,Hotel Xaguate
268,Yar-Sale,RU,68.68,overcast clouds,66.8333,70.8333,Yalemd
269,Karratha,AU,68.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
272,Antsohihy,MG,68.99,few clouds,-14.8796,47.9875,Hotel de Ville
273,Nouadhibou,MR,69.78,few clouds,20.931,-17.0347,El Medina
277,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
278,Dakar,SN,79.68,scattered clouds,14.6937,-17.4441,Novotel Dakar
280,Shingu,JP,79.93,overcast clouds,33.7333,135.9833,Shingu UI Hotel
283,Ponta Delgada,PT,66.51,light intensity shower rain,37.7333,-25.6667,Vila Nova Hotel
287,Ambulu,ID,78.08,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
290,Cap Malheureux,MU,67.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
292,Saint-Pierre,RE,66.9,overcast clouds,-21.3393,55.4781,Alize Plage
293,Pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
294,La Rochelle,FR,64.87,clear sky,46.1667,-1.15,Hôtel Saint Jean d'Acre
297,Faya,SA,71.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
298,Sao Joao Da Barra,BR,71.35,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
300,Muros,ES,66.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
312,Lafia,NG,74.64,light rain,8.4833,8.5167,Low Cost Housing Estate
