City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-07-08 02:20:08,-54.8,-68.3,few clouds,29.86,74,20,11.5
1,Hamilton,US,2022-07-08 02:13:32,39.1834,-84.5333,scattered clouds,81.88,72,40,5.75
2,Punta Arenas,CL,2022-07-08 02:20:08,-53.15,-70.9167,clear sky,21.31,100,0,5.75
3,Albany,US,2022-07-08 02:15:15,42.6001,-73.9662,overcast clouds,73.81,77,100,2.59
4,Severo-Kurilsk,RU,2022-07-08 02:20:08,50.6789,156.125,broken clouds,56.52,85,71,8.25
5,Port Elizabeth,ZA,2022-07-08 02:18:25,-33.918,25.5701,clear sky,55.99,88,0,4.76
6,Puerto Ayora,EC,2022-07-08 02:20:09,-0.7393,-90.3518,scattered clouds,71.55,86,26,1.99
7,Morehead,US,2022-07-08 02:15:47,37.2711,-87.1764,clear sky,73.85,99,0,0.0
8,Busselton,AU,2022-07-08 02:20:09,-33.65,115.3333,overcast clouds,61.3,81,87,12.39
9,Buncrana,IE,2022-07-08 02:20:09,55.1333,-7.45,overcast clouds,57.22,88,100,6.87
10,Hobart,AU,2022-07-08 02:13:51,-42.8794,147.3294,broken clouds,51.66,79,75,14.97
11,Kapaa,US,2022-07-08 02:20:10,22.0752,-159.319,overcast clouds,82.38,73,100,17.27
12,Chuy,UY,2022-07-08 02:20:10,-33.6971,-53.4616,clear sky,44.56,63,0,3.22
13,Datong,CN,2022-07-08 02:20:10,40.0936,113.2914,clear sky,79.86,42,4,2.84
14,Iqaluit,CA,2022-07-08 02:20:11,63.7506,-68.5145,broken clouds,41.7,81,75,4.0
15,Angoche,MZ,2022-07-08 02:20:11,-16.2325,39.9086,clear sky,71.67,71,1,8.9
16,Lagoa,PT,2022-07-08 02:20:11,39.05,-27.9833,overcast clouds,65.95,85,92,14.74
17,Akonolinga,CM,2022-07-08 02:20:12,3.7667,12.25,overcast clouds,65.91,100,100,2.71
18,Guerrero Negro,MX,2022-07-08 02:20:13,27.9769,-114.0611,clear sky,69.3,79,0,16.93
19,Tocopilla,CL,2022-07-08 02:17:35,-22.092,-70.1979,broken clouds,61.2,76,59,4.56
20,Te Anau,NZ,2022-07-08 02:17:06,-45.4167,167.7167,moderate rain,38.98,95,100,0.85
21,Atuona,PF,2022-07-08 02:20:13,-9.8,-139.0333,few clouds,77.59,77,17,21.05
22,Mataura,NZ,2022-07-08 02:20:14,-46.1927,168.8643,overcast clouds,50.49,92,100,12.84
23,Caetite,BR,2022-07-08 02:20:14,-14.0694,-42.475,clear sky,62.64,77,2,9.1
24,Rio Grande,BR,2022-07-08 02:20:14,-32.035,-52.0986,broken clouds,52.97,75,81,10.45
25,Sorland,NO,2022-07-08 02:20:15,67.667,12.6934,overcast clouds,49.86,74,100,16.11
26,Cabo San Lucas,MX,2022-07-08 02:15:59,22.8909,-109.9124,clear sky,92.61,51,0,16.11
27,Ilulissat,GL,2022-07-08 02:20:15,69.2167,-51.1,overcast clouds,46.42,81,100,3.44
28,Avarua,CK,2022-07-08 02:20:15,-21.2078,-159.775,broken clouds,73.45,60,80,9.22
29,Tual,ID,2022-07-08 02:20:16,-5.6667,132.75,broken clouds,79.09,78,75,19.95
30,Concepcion,CL,2022-07-08 02:20:16,-36.827,-73.0498,mist,40.8,93,0,2.3
31,Arman,RU,2022-07-08 02:20:16,59.7,150.1667,scattered clouds,77.02,83,48,8.28
32,Kodiak,US,2022-07-08 02:20:16,57.79,-152.4072,moderate rain,53.11,94,100,12.66
33,Port Blair,IN,2022-07-08 02:20:17,11.6667,92.75,overcast clouds,83.5,78,100,12.71
34,Los Llanos De Aridane,ES,2022-07-08 02:18:10,28.6585,-17.9182,few clouds,64.15,94,20,13.8
35,Cidreira,BR,2022-07-08 02:20:17,-30.1811,-50.2056,heavy intensity rain,60.26,92,100,5.39
36,Sitka,US,2022-07-08 02:20:17,57.0531,-135.33,overcast clouds,57.09,82,100,9.22
37,Arraial Do Cabo,BR,2022-07-08 02:20:18,-22.9661,-42.0278,scattered clouds,70.25,87,46,23.38
38,Zhigansk,RU,2022-07-08 02:20:18,66.7697,123.3711,overcast clouds,50.54,76,100,31.56
39,Yellowknife,CA,2022-07-08 02:20:18,62.456,-114.3525,smoke,77.56,29,20,10.0
40,Qaanaaq,GL,2022-07-08 02:15:17,77.484,-69.3632,broken clouds,42.37,73,56,3.06
41,Bandundu,CD,2022-07-08 02:20:19,-3.3167,17.3667,broken clouds,73.04,41,60,3.27
42,Okhotsk,RU,2022-07-08 02:20:19,59.3833,143.3,overcast clouds,57.45,95,100,5.99
43,Ponta Do Sol,PT,2022-07-08 02:20:07,32.6667,-17.1,clear sky,68.0,86,5,3.38
44,Hermanus,ZA,2022-07-08 02:20:20,-34.4187,19.2345,broken clouds,49.8,84,73,7.14
45,Kaitangata,NZ,2022-07-08 02:21:20,-46.2817,169.8464,light rain,47.48,93,100,19.51
46,Vila Franca Do Campo,PT,2022-07-08 02:21:20,37.7167,-25.4333,overcast clouds,66.2,83,100,7.76
47,Samoylovka,RU,2022-07-08 02:21:21,51.184,43.7081,few clouds,63.05,64,16,4.29
48,Bluff,NZ,2022-07-08 02:21:21,-46.6,168.3333,overcast clouds,50.81,88,100,23.87
49,Jamestown,US,2022-07-08 02:21:21,42.097,-79.2353,overcast clouds,65.01,78,100,1.01
50,Cape Town,ZA,2022-07-08 02:20:48,-33.9258,18.4232,few clouds,60.39,88,20,6.91
51,Isangel,VU,2022-07-08 02:20:57,-19.55,169.2667,few clouds,81.97,70,13,6.24
52,Erdenet,MN,2022-07-08 02:21:22,49.0333,104.0833,overcast clouds,61.0,58,87,4.34
53,Mercedes,AR,2022-07-08 02:21:22,-34.6515,-59.4307,clear sky,43.03,30,10,2.73
54,College,US,2022-07-08 02:16:56,64.8569,-147.8028,smoke,83.46,37,20,5.75
55,Talnakh,RU,2022-07-08 02:21:22,69.4865,88.3972,light rain,52.21,60,100,9.57
56,Butaritari,KI,2022-07-08 02:21:23,3.0707,172.7902,light rain,81.81,77,16,14.52
