City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nahrin,AF,2022-07-07 23:11:15,36.0649,69.1334,68.7,34,16,0.96
1,Yellowknife,CA,2022-07-07 23:08:31,62.456,-114.3525,77.56,31,0,13.0
2,Port Elizabeth,ZA,2022-07-07 23:11:15,-33.918,25.5701,58.05,87,18,5.12
3,Denia,ES,2022-07-07 23:11:16,38.8408,0.1057,79.84,65,0,1.99
4,Rikitea,PF,2022-07-07 23:11:16,-23.1203,-134.9692,74.89,74,56,21.92
5,New Norfolk,AU,2022-07-07 23:11:16,-42.7826,147.0587,47.91,82,99,3.0
6,Tandil,AR,2022-07-07 23:11:16,-37.3217,-59.1332,40.95,38,1,6.89
7,Victoria,HK,2022-07-07 23:11:17,22.2855,114.1577,86.32,85,94,10.0
8,Namatanai,PG,2022-07-07 23:11:17,-3.6667,152.4333,82.74,72,92,12.12
9,Hermanus,ZA,2022-07-07 23:11:18,-34.4187,19.2345,51.8,88,75,3.2
10,Khatanga,RU,2022-07-07 23:11:18,71.9667,102.5,48.79,40,1,9.62
11,Mount Isa,AU,2022-07-07 23:11:19,-20.7333,139.5,53.37,58,0,8.05
12,Vaini,TO,2022-07-07 23:11:19,-21.2,-175.2,75.36,83,40,10.36
13,Taoudenni,ML,2022-07-07 23:11:19,22.6783,-3.9836,103.1,11,17,6.17
14,Ust-Uda,RU,2022-07-07 23:11:20,54.1742,103.0304,58.93,90,100,3.71
15,Chunoyar,RU,2022-07-07 23:11:20,57.4467,97.3217,58.96,94,100,3.06
16,Kandrian,PG,2022-07-07 23:11:20,-6.2167,149.55,82.38,75,99,8.9
17,Tiksi,RU,2022-07-07 23:11:21,71.6872,128.8694,37.89,74,98,11.65
18,Busselton,AU,2022-07-07 23:11:21,-33.65,115.3333,54.37,79,83,7.58
19,Leningradskiy,RU,2022-07-07 23:11:21,69.3833,178.4167,43.38,74,80,14.12
20,Punta Arenas,CL,2022-07-07 23:11:21,-53.15,-70.9167,30.11,93,20,9.22
21,Ilulissat,GL,2022-07-07 23:11:22,69.2167,-51.1,48.22,71,75,4.61
22,Bandarbeyla,SO,2022-07-07 23:11:22,9.4942,50.8122,76.33,75,51,32.55
23,Pontianak,ID,2022-07-07 23:11:22,-0.0333,109.3333,74.05,91,64,2.93
24,Bredasdorp,ZA,2022-07-07 23:11:23,-34.5322,20.0403,51.55,88,62,3.11
25,Hobart,AU,2022-07-07 23:07:07,-42.8794,147.3294,47.26,90,99,3.0
26,Paamiut,GL,2022-07-07 23:11:23,61.994,-49.6678,41.59,94,56,4.81
27,Saint George,US,2022-07-07 23:11:22,37.1041,-113.5841,103.62,10,0,9.22
28,Jamestown,US,2022-07-07 23:11:23,42.097,-79.2353,75.02,50,0,6.91
29,Hwange,ZW,2022-07-07 23:11:24,-18.3693,26.5019,59.05,29,0,5.66
30,Mahebourg,MU,2022-07-07 23:11:24,-20.4081,57.7,70.09,68,40,12.66
31,Cidreira,BR,2022-07-07 23:11:24,-30.1811,-50.2056,61.74,90,99,6.98
32,Katsuura,JP,2022-07-07 23:11:25,35.1333,140.3,76.05,75,53,15.88
33,Lebu,CL,2022-07-07 23:11:25,-37.6167,-73.65,46.67,81,9,4.07
34,Kieta,PG,2022-07-07 23:11:25,-6.2167,155.6333,81.52,78,84,6.46
35,Ushuaia,AR,2022-07-07 23:11:26,-54.8,-68.3,29.86,69,40,4.61
36,Chota,PE,2022-07-07 23:11:26,-6.55,-78.65,57.42,84,75,5.39
37,Kruisfontein,ZA,2022-07-07 23:11:26,-34.0033,24.7314,51.71,92,4,4.65
38,Avarua,CK,2022-07-07 23:11:26,-21.2078,-159.775,77.05,57,20,6.91
39,Dikson,RU,2022-07-07 23:11:27,73.5069,80.5464,41.11,97,100,22.75
40,Ambilobe,MG,2022-07-07 23:11:27,-13.2,49.05,63.05,85,2,3.89
41,Treuchtlingen,DE,2022-07-07 23:11:27,48.95,10.9167,59.38,95,60,8.19
42,Viedma,AR,2022-07-07 23:11:28,-40.8135,-62.9967,45.23,41,27,7.67
43,Pareora,NZ,2022-07-07 23:11:28,-44.4871,171.2132,47.17,97,100,2.42
44,Saint-Philippe,RE,2022-07-07 23:11:28,-21.3585,55.7679,63.99,74,50,7.2
45,Finnsnes,NO,2022-07-07 23:11:28,69.2296,17.9811,50.61,94,100,8.25
46,Norman Wells,CA,2022-07-07 23:11:29,65.282,-126.8329,89.96,22,3,11.27
47,Tasiilaq,GL,2022-07-07 23:11:29,65.6145,-37.6368,41.16,91,89,6.06
48,Adrar,MR,2022-07-07 23:11:29,20.5022,-10.0711,97.45,20,13,10.0
49,Vila Velha,BR,2022-07-07 23:12:05,-20.3297,-40.2925,73.35,85,75,0.0
50,Iqaluit,CA,2022-07-07 23:12:30,63.7506,-68.5145,43.7,81,99,5.01
51,East London,ZA,2022-07-07 23:12:31,-33.0153,27.9116,61.07,70,3,4.03
52,Acajutla,SV,2022-07-07 23:12:31,13.5928,-89.8275,82.99,76,32,7.92
53,Zamardi,HU,2022-07-07 23:12:31,46.8849,17.9537,61.95,73,100,8.99
54,Baijiantan,CN,2022-07-07 23:12:31,45.6333,85.1833,81.21,26,70,13.42
55,Gashua,NG,2022-07-07 23:08:14,12.871,11.0482,89.51,40,80,13.15
56,Oussouye,SN,2022-07-07 23:12:32,12.485,-16.5469,80.46,83,94,7.27
57,Ribeira Grande,PT,2022-07-07 23:12:32,38.5167,-28.7,67.39,78,72,16.28
58,Zhigansk,RU,2022-07-07 23:12:32,66.7697,123.3711,49.32,79,100,29.97
59,Garissa,KE,2022-07-07 23:12:33,-0.4536,39.6401,71.8,81,27,16.58
60,Petropavlovsk-Kamchatskiy,RU,2022-07-07 23:12:33,53.0452,158.6483,69.78,56,0,6.71
61,Mahbubabad,IN,2022-07-07 23:12:33,17.6167,80.0167,76.21,93,100,9.55
